gtex_d	gtex_d_R1	gtex_d_R2
SRR1068687	SRR1068687_1.fastq.gz	SRR1068687_2.fastq.gz
SRR1068788	SRR1068788_1.fastq.gz	SRR1068788_2.fastq.gz
SRR1068808	SRR1068808_1.fastq.gz	SRR1068808_2.fastq.gz
SRR1068832	SRR1068832_1.fastq.gz	SRR1068832_2.fastq.gz
SRR1068855	SRR1068855_1.fastq.gz	SRR1068855_2.fastq.gz
SRR1068880	SRR1068880_1.fastq.gz	SRR1068880_2.fastq.gz
SRR1068905	SRR1068905_1.fastq.gz	SRR1068905_2.fastq.gz
SRR1068929	SRR1068929_1.fastq.gz	SRR1068929_2.fastq.gz
SRR1068953	SRR1068953_1.fastq.gz	SRR1068953_2.fastq.gz
SRR1068977	SRR1068977_1.fastq.gz	SRR1068977_2.fastq.gz
SRR1068999	SRR1068999_1.fastq.gz	SRR1068999_2.fastq.gz
SRR1069024	SRR1069024_1.fastq.gz	SRR1069024_2.fastq.gz
SRR1069048	SRR1069048_1.fastq.gz	SRR1069048_2.fastq.gz
SRR1069074	SRR1069074_1.fastq.gz	SRR1069074_2.fastq.gz
SRR1069097	SRR1069097_1.fastq.gz	SRR1069097_2.fastq.gz
SRR1069121	SRR1069121_1.fastq.gz	SRR1069121_2.fastq.gz
SRR1069141	SRR1069141_1.fastq.gz	SRR1069141_2.fastq.gz
SRR1069166	SRR1069166_1.fastq.gz	SRR1069166_2.fastq.gz
SRR1069188	SRR1069188_1.fastq.gz	SRR1069188_2.fastq.gz
SRR1069209	SRR1069209_1.fastq.gz	SRR1069209_2.fastq.gz
SRR1069231	SRR1069231_1.fastq.gz	SRR1069231_2.fastq.gz
SRR1069255	SRR1069255_1.fastq.gz	SRR1069255_2.fastq.gz
SRR1069279	SRR1069279_1.fastq.gz	SRR1069279_2.fastq.gz
SRR1069303	SRR1069303_1.fastq.gz	SRR1069303_2.fastq.gz
SRR1069328	SRR1069328_1.fastq.gz	SRR1069328_2.fastq.gz
SRR1069352	SRR1069352_1.fastq.gz	SRR1069352_2.fastq.gz
SRR1069376	SRR1069376_1.fastq.gz	SRR1069376_2.fastq.gz
SRR1069400	SRR1069400_1.fastq.gz	SRR1069400_2.fastq.gz
SRR1069421	SRR1069421_1.fastq.gz	SRR1069421_2.fastq.gz
SRR1069445	SRR1069445_1.fastq.gz	SRR1069445_2.fastq.gz
SRR1069466	SRR1069466_1.fastq.gz	SRR1069466_2.fastq.gz
SRR1069490	SRR1069490_1.fastq.gz	SRR1069490_2.fastq.gz
SRR1069514	SRR1069514_1.fastq.gz	SRR1069514_2.fastq.gz
SRR1069539	SRR1069539_1.fastq.gz	SRR1069539_2.fastq.gz
SRR1069564	SRR1069564_1.fastq.gz	SRR1069564_2.fastq.gz
SRR1069590	SRR1069590_1.fastq.gz	SRR1069590_2.fastq.gz
SRR1069614	SRR1069614_1.fastq.gz	SRR1069614_2.fastq.gz
SRR1069638	SRR1069638_1.fastq.gz	SRR1069638_2.fastq.gz
SRR1069666	SRR1069666_1.fastq.gz	SRR1069666_2.fastq.gz
SRR1069690	SRR1069690_1.fastq.gz	SRR1069690_2.fastq.gz
SRR1069714	SRR1069714_1.fastq.gz	SRR1069714_2.fastq.gz
SRR1069734	SRR1069734_1.fastq.gz	SRR1069734_2.fastq.gz
SRR1069758	SRR1069758_1.fastq.gz	SRR1069758_2.fastq.gz
SRR1069778	SRR1069778_1.fastq.gz	SRR1069778_2.fastq.gz
SRR1069802	SRR1069802_1.fastq.gz	SRR1069802_2.fastq.gz
SRR1069826	SRR1069826_1.fastq.gz	SRR1069826_2.fastq.gz
SRR1069850	SRR1069850_1.fastq.gz	SRR1069850_2.fastq.gz
SRR1069871	SRR1069871_1.fastq.gz	SRR1069871_2.fastq.gz
SRR1069895	SRR1069895_1.fastq.gz	SRR1069895_2.fastq.gz
SRR1069919	SRR1069919_1.fastq.gz	SRR1069919_2.fastq.gz
SRR1069943	SRR1069943_1.fastq.gz	SRR1069943_2.fastq.gz
SRR1069967	SRR1069967_1.fastq.gz	SRR1069967_2.fastq.gz
SRR1069991	SRR1069991_1.fastq.gz	SRR1069991_2.fastq.gz
SRR1070015	SRR1070015_1.fastq.gz	SRR1070015_2.fastq.gz
SRR1070036	SRR1070036_1.fastq.gz	SRR1070036_2.fastq.gz
SRR1070060	SRR1070060_1.fastq.gz	SRR1070060_2.fastq.gz
SRR1070086	SRR1070086_1.fastq.gz	SRR1070086_2.fastq.gz
SRR1070111	SRR1070111_1.fastq.gz	SRR1070111_2.fastq.gz
SRR1070133	SRR1070133_1.fastq.gz	SRR1070133_2.fastq.gz
SRR1070159	SRR1070159_1.fastq.gz	SRR1070159_2.fastq.gz
SRR1070184	SRR1070184_1.fastq.gz	SRR1070184_2.fastq.gz
SRR1070208	SRR1070208_1.fastq.gz	SRR1070208_2.fastq.gz
SRR1070232	SRR1070232_1.fastq.gz	SRR1070232_2.fastq.gz
SRR1070260	SRR1070260_1.fastq.gz	SRR1070260_2.fastq.gz
SRR1070286	SRR1070286_1.fastq.gz	SRR1070286_2.fastq.gz
SRR1070308	SRR1070308_1.fastq.gz	SRR1070308_2.fastq.gz
SRR1070332	SRR1070332_1.fastq.gz	SRR1070332_2.fastq.gz
SRR1070358	SRR1070358_1.fastq.gz	SRR1070358_2.fastq.gz
SRR1070382	SRR1070382_1.fastq.gz	SRR1070382_2.fastq.gz
SRR1070403	SRR1070403_1.fastq.gz	SRR1070403_2.fastq.gz
SRR1070429	SRR1070429_1.fastq.gz	SRR1070429_2.fastq.gz
SRR1070455	SRR1070455_1.fastq.gz	SRR1070455_2.fastq.gz
SRR1070479	SRR1070479_1.fastq.gz	SRR1070479_2.fastq.gz
SRR1070503	SRR1070503_1.fastq.gz	SRR1070503_2.fastq.gz
SRR1070525	SRR1070525_1.fastq.gz	SRR1070525_2.fastq.gz
SRR1070549	SRR1070549_1.fastq.gz	SRR1070549_2.fastq.gz
SRR1070573	SRR1070573_1.fastq.gz	SRR1070573_2.fastq.gz
SRR1070597	SRR1070597_1.fastq.gz	SRR1070597_2.fastq.gz
SRR1070620	SRR1070620_1.fastq.gz	SRR1070620_2.fastq.gz
SRR1070641	SRR1070641_1.fastq.gz	SRR1070641_2.fastq.gz
SRR1070665	SRR1070665_1.fastq.gz	SRR1070665_2.fastq.gz
SRR1070689	SRR1070689_1.fastq.gz	SRR1070689_2.fastq.gz
SRR1070713	SRR1070713_1.fastq.gz	SRR1070713_2.fastq.gz
SRR1070738	SRR1070738_1.fastq.gz	SRR1070738_2.fastq.gz
SRR1070764	SRR1070764_1.fastq.gz	SRR1070764_2.fastq.gz
SRR1070789	SRR1070789_1.fastq.gz	SRR1070789_2.fastq.gz
SRR1070813	SRR1070813_1.fastq.gz	SRR1070813_2.fastq.gz
SRR1070841	SRR1070841_1.fastq.gz	SRR1070841_2.fastq.gz
SRR1070863	SRR1070863_1.fastq.gz	SRR1070863_2.fastq.gz
SRR1070884	SRR1070884_1.fastq.gz	SRR1070884_2.fastq.gz
SRR1070888	SRR1070888_1.fastq.gz	SRR1070888_2.fastq.gz
SRR1070913	SRR1070913_1.fastq.gz	SRR1070913_2.fastq.gz
SRR1070937	SRR1070937_1.fastq.gz	SRR1070937_2.fastq.gz
SRR1070960	SRR1070960_1.fastq.gz	SRR1070960_2.fastq.gz
SRR1070986	SRR1070986_1.fastq.gz	SRR1070986_2.fastq.gz
SRR1071011	SRR1071011_1.fastq.gz	SRR1071011_2.fastq.gz
SRR1071035	SRR1071035_1.fastq.gz	SRR1071035_2.fastq.gz
SRR1071060	SRR1071060_1.fastq.gz	SRR1071060_2.fastq.gz
SRR1071084	SRR1071084_1.fastq.gz	SRR1071084_2.fastq.gz
SRR1071105	SRR1071105_1.fastq.gz	SRR1071105_2.fastq.gz
SRR1071131	SRR1071131_1.fastq.gz	SRR1071131_2.fastq.gz
SRR1071157	SRR1071157_1.fastq.gz	SRR1071157_2.fastq.gz
SRR1071181	SRR1071181_1.fastq.gz	SRR1071181_2.fastq.gz
SRR1071207	SRR1071207_1.fastq.gz	SRR1071207_2.fastq.gz
SRR1071231	SRR1071231_1.fastq.gz	SRR1071231_2.fastq.gz
SRR1071289	SRR1071289_1.fastq.gz	SRR1071289_2.fastq.gz
SRR1071313	SRR1071313_1.fastq.gz	SRR1071313_2.fastq.gz
SRR1071337	SRR1071337_1.fastq.gz	SRR1071337_2.fastq.gz
SRR1071359	SRR1071359_1.fastq.gz	SRR1071359_2.fastq.gz
SRR1071379	SRR1071379_1.fastq.gz	SRR1071379_2.fastq.gz
SRR1071403	SRR1071403_1.fastq.gz	SRR1071403_2.fastq.gz
SRR1071429	SRR1071429_1.fastq.gz	SRR1071429_2.fastq.gz
SRR1071453	SRR1071453_1.fastq.gz	SRR1071453_2.fastq.gz
SRR1071475	SRR1071475_1.fastq.gz	SRR1071475_2.fastq.gz
SRR1071499	SRR1071499_1.fastq.gz	SRR1071499_2.fastq.gz
SRR1071519	SRR1071519_1.fastq.gz	SRR1071519_2.fastq.gz
SRR1071543	SRR1071543_1.fastq.gz	SRR1071543_2.fastq.gz
SRR1071568	SRR1071568_1.fastq.gz	SRR1071568_2.fastq.gz
SRR1071594	SRR1071594_1.fastq.gz	SRR1071594_2.fastq.gz
SRR1071620	SRR1071620_1.fastq.gz	SRR1071620_2.fastq.gz
SRR1071644	SRR1071644_1.fastq.gz	SRR1071644_2.fastq.gz
SRR1071668	SRR1071668_1.fastq.gz	SRR1071668_2.fastq.gz
SRR1071692	SRR1071692_1.fastq.gz	SRR1071692_2.fastq.gz
SRR1071717	SRR1071717_1.fastq.gz	SRR1071717_2.fastq.gz
SRR1071737	SRR1071737_1.fastq.gz	SRR1071737_2.fastq.gz
SRR1071761	SRR1071761_1.fastq.gz	SRR1071761_2.fastq.gz
