SRR1071807 SRR1071807_1.fastq.gz SRR1071807_2.fastq.gz
SRR1080366 SRR1080366_1.fastq.gz SRR1080366_2.fastq.gz
SRR1085759 SRR1085759_1.fastq.gz SRR1085759_2.fastq.gz
SRR1089504 SRR1089504_1.fastq.gz SRR1089504_2.fastq.gz
SRR1105272 SRR1105272_1.fastq.gz SRR1105272_2.fastq.gz
SRR1314940 SRR1314940_1.fastq.gz SRR1314940_2.fastq.gz
SRR1317086 SRR1317086_1.fastq.gz SRR1317086_2.fastq.gz
SRR1325483 SRR1325483_1.fastq.gz SRR1325483_2.fastq.gz
SRR1328447 SRR1328447_1.fastq.gz SRR1328447_2.fastq.gz
SRR1329154 SRR1329154_1.fastq.gz SRR1329154_2.fastq.gz
SRR1340662 SRR1340662_1.fastq.gz SRR1340662_2.fastq.gz
SRR1362263 SRR1362263_1.fastq.gz SRR1362263_2.fastq.gz
SRR1377578 SRR1377578_1.fastq.gz SRR1377578_2.fastq.gz
SRR1380931 SRR1380931_1.fastq.gz SRR1380931_2.fastq.gz
SRR1396700 SRR1396700_1.fastq.gz SRR1396700_2.fastq.gz
SRR1416516 SRR1416516_1.fastq.gz SRR1416516_2.fastq.gz
SRR1420649 SRR1420649_1.fastq.gz SRR1420649_2.fastq.gz
SRR1432650 SRR1432650_1.fastq.gz SRR1432650_2.fastq.gz
SRR1433066 SRR1433066_1.fastq.gz SRR1433066_2.fastq.gz
SRR1435730 SRR1435730_1.fastq.gz SRR1435730_2.fastq.gz
SRR1437274 SRR1437274_1.fastq.gz SRR1437274_2.fastq.gz
SRR1442708 SRR1442708_1.fastq.gz SRR1442708_2.fastq.gz
SRR1443092 SRR1443092_1.fastq.gz SRR1443092_2.fastq.gz
SRR1445835 SRR1445835_1.fastq.gz SRR1445835_2.fastq.gz
SRR1447631 SRR1447631_1.fastq.gz SRR1447631_2.fastq.gz
SRR1452888 SRR1452888_1.fastq.gz SRR1452888_2.fastq.gz
SRR1456711 SRR1456711_1.fastq.gz SRR1456711_2.fastq.gz
SRR1465871 SRR1465871_1.fastq.gz SRR1465871_2.fastq.gz
SRR1468426 SRR1468426_1.fastq.gz SRR1468426_2.fastq.gz
SRR1469746 SRR1469746_1.fastq.gz SRR1469746_2.fastq.gz
SRR1486080 SRR1486080_1.fastq.gz SRR1486080_2.fastq.gz
SRR1490658 SRR1490658_1.fastq.gz SRR1490658_2.fastq.gz
SRR1500261 SRR1500261_1.fastq.gz SRR1500261_2.fastq.gz
SRR2135353 SRR2135353_1.fastq.gz SRR2135353_2.fastq.gz
SRR2135396 SRR2135396_1.fastq.gz SRR2135396_2.fastq.gz
SRR809943 SRR809943_1.fastq.gz SRR809943_2.fastq.gz
SRR810007 SRR810007_1.fastq.gz SRR810007_2.fastq.gz
SRR821356 SRR821356_1.fastq.gz SRR821356_2.fastq.gz
