SRR1069141 SRR1069141_1.fastq.gz SRR1069141_2.fastq.gz
SRR1070689 SRR1070689_1.fastq.gz SRR1070689_2.fastq.gz
SRR1071668 SRR1071668_1.fastq.gz SRR1071668_2.fastq.gz
SRR1073435 SRR1073435_1.fastq.gz SRR1073435_2.fastq.gz
SRR1075102 SRR1075102_1.fastq.gz SRR1075102_2.fastq.gz
SRR1075804 SRR1075804_1.fastq.gz SRR1075804_2.fastq.gz
SRR1076022 SRR1076022_1.fastq.gz SRR1076022_2.fastq.gz
SRR1080117 SRR1080117_1.fastq.gz SRR1080117_2.fastq.gz
SRR1080294 SRR1080294_1.fastq.gz SRR1080294_2.fastq.gz
SRR1081184 SRR1081184_1.fastq.gz SRR1081184_2.fastq.gz
SRR1082151 SRR1082151_1.fastq.gz SRR1082151_2.fastq.gz
SRR1083983 SRR1083983_1.fastq.gz SRR1083983_2.fastq.gz
SRR1086256 SRR1086256_1.fastq.gz SRR1086256_2.fastq.gz
SRR1087007 SRR1087007_1.fastq.gz SRR1087007_2.fastq.gz
SRR1087321 SRR1087321_1.fastq.gz SRR1087321_2.fastq.gz
SRR1089446 SRR1089446_1.fastq.gz SRR1089446_2.fastq.gz
SRR1090095 SRR1090095_1.fastq.gz SRR1090095_2.fastq.gz
SRR1090556 SRR1090556_1.fastq.gz SRR1090556_2.fastq.gz
SRR1091865 SRR1091865_1.fastq.gz SRR1091865_2.fastq.gz
SRR1093861 SRR1093861_1.fastq.gz SRR1093861_2.fastq.gz
SRR1095383 SRR1095383_1.fastq.gz SRR1095383_2.fastq.gz
SRR1095913 SRR1095913_1.fastq.gz SRR1095913_2.fastq.gz
SRR1098737 SRR1098737_1.fastq.gz SRR1098737_2.fastq.gz
SRR1100991 SRR1100991_1.fastq.gz SRR1100991_2.fastq.gz
SRR1101883 SRR1101883_1.fastq.gz SRR1101883_2.fastq.gz
SRR1102152 SRR1102152_1.fastq.gz SRR1102152_2.fastq.gz
SRR1102899 SRR1102899_1.fastq.gz SRR1102899_2.fastq.gz
SRR1105248 SRR1105248_1.fastq.gz SRR1105248_2.fastq.gz
SRR1120939 SRR1120939_1.fastq.gz SRR1120939_2.fastq.gz
SRR1310433 SRR1310433_1.fastq.gz SRR1310433_2.fastq.gz
SRR1312266 SRR1312266_1.fastq.gz SRR1312266_2.fastq.gz
SRR1313807 SRR1313807_1.fastq.gz SRR1313807_2.fastq.gz
SRR1316096 SRR1316096_1.fastq.gz SRR1316096_2.fastq.gz
SRR1317532 SRR1317532_1.fastq.gz SRR1317532_2.fastq.gz
SRR1317554 SRR1317554_1.fastq.gz SRR1317554_2.fastq.gz
SRR1321877 SRR1321877_1.fastq.gz SRR1321877_2.fastq.gz
SRR1322312 SRR1322312_1.fastq.gz SRR1322312_2.fastq.gz
SRR1322477 SRR1322477_1.fastq.gz SRR1322477_2.fastq.gz
SRR1323491 SRR1323491_1.fastq.gz SRR1323491_2.fastq.gz
SRR1324295 SRR1324295_1.fastq.gz SRR1324295_2.fastq.gz
SRR1324412 SRR1324412_1.fastq.gz SRR1324412_2.fastq.gz
SRR1325290 SRR1325290_1.fastq.gz SRR1325290_2.fastq.gz
SRR1328760 SRR1328760_1.fastq.gz SRR1328760_2.fastq.gz
SRR1331488 SRR1331488_1.fastq.gz SRR1331488_2.fastq.gz
SRR1334866 SRR1334866_1.fastq.gz SRR1334866_2.fastq.gz
SRR1335236 SRR1335236_1.fastq.gz SRR1335236_2.fastq.gz
SRR1336314 SRR1336314_1.fastq.gz SRR1336314_2.fastq.gz
SRR1338103 SRR1338103_1.fastq.gz SRR1338103_2.fastq.gz
SRR1338257 SRR1338257_1.fastq.gz SRR1338257_2.fastq.gz
SRR1339573 SRR1339573_1.fastq.gz SRR1339573_2.fastq.gz
SRR1340325 SRR1340325_1.fastq.gz SRR1340325_2.fastq.gz
SRR1341877 SRR1341877_1.fastq.gz SRR1341877_2.fastq.gz
SRR1344445 SRR1344445_1.fastq.gz SRR1344445_2.fastq.gz
SRR1345244 SRR1345244_1.fastq.gz SRR1345244_2.fastq.gz
SRR1346734 SRR1346734_1.fastq.gz SRR1346734_2.fastq.gz
SRR1349320 SRR1349320_1.fastq.gz SRR1349320_2.fastq.gz
SRR1349409 SRR1349409_1.fastq.gz SRR1349409_2.fastq.gz
SRR1349456 SRR1349456_1.fastq.gz SRR1349456_2.fastq.gz
SRR1349479 SRR1349479_1.fastq.gz SRR1349479_2.fastq.gz
SRR1349562 SRR1349562_1.fastq.gz SRR1349562_2.fastq.gz
SRR1350002 SRR1350002_1.fastq.gz SRR1350002_2.fastq.gz
SRR1350239 SRR1350239_1.fastq.gz SRR1350239_2.fastq.gz
SRR1352507 SRR1352507_1.fastq.gz SRR1352507_2.fastq.gz
SRR1353376 SRR1353376_1.fastq.gz SRR1353376_2.fastq.gz
SRR1353878 SRR1353878_1.fastq.gz SRR1353878_2.fastq.gz
SRR1354053 SRR1354053_1.fastq.gz SRR1354053_2.fastq.gz
SRR1357389 SRR1357389_1.fastq.gz SRR1357389_2.fastq.gz
SRR1358143 SRR1358143_1.fastq.gz SRR1358143_2.fastq.gz
SRR1361072 SRR1361072_1.fastq.gz SRR1361072_2.fastq.gz
SRR1365313 SRR1365313_1.fastq.gz SRR1365313_2.fastq.gz
SRR1375721 SRR1375721_1.fastq.gz SRR1375721_2.fastq.gz
SRR1376830 SRR1376830_1.fastq.gz SRR1376830_2.fastq.gz
SRR1376852 SRR1376852_1.fastq.gz SRR1376852_2.fastq.gz
SRR1379426 SRR1379426_1.fastq.gz SRR1379426_2.fastq.gz
SRR1380806 SRR1380806_1.fastq.gz SRR1380806_2.fastq.gz
SRR1383283 SRR1383283_1.fastq.gz SRR1383283_2.fastq.gz
SRR1383763 SRR1383763_1.fastq.gz SRR1383763_2.fastq.gz
SRR1384049 SRR1384049_1.fastq.gz SRR1384049_2.fastq.gz
SRR1387397 SRR1387397_1.fastq.gz SRR1387397_2.fastq.gz
SRR1388214 SRR1388214_1.fastq.gz SRR1388214_2.fastq.gz
SRR1389384 SRR1389384_1.fastq.gz SRR1389384_2.fastq.gz
SRR1390499 SRR1390499_1.fastq.gz SRR1390499_2.fastq.gz
SRR1390540 SRR1390540_1.fastq.gz SRR1390540_2.fastq.gz
SRR1395999 SRR1395999_1.fastq.gz SRR1395999_2.fastq.gz
SRR1402590 SRR1402590_1.fastq.gz SRR1402590_2.fastq.gz
SRR1403434 SRR1403434_1.fastq.gz SRR1403434_2.fastq.gz
SRR1403544 SRR1403544_1.fastq.gz SRR1403544_2.fastq.gz
SRR1404227 SRR1404227_1.fastq.gz SRR1404227_2.fastq.gz
SRR1405054 SRR1405054_1.fastq.gz SRR1405054_2.fastq.gz
SRR1407179 SRR1407179_1.fastq.gz SRR1407179_2.fastq.gz
SRR1408512 SRR1408512_1.fastq.gz SRR1408512_2.fastq.gz
SRR1409790 SRR1409790_1.fastq.gz SRR1409790_2.fastq.gz
SRR1412969 SRR1412969_1.fastq.gz SRR1412969_2.fastq.gz
SRR1413008 SRR1413008_1.fastq.gz SRR1413008_2.fastq.gz
SRR1414185 SRR1414185_1.fastq.gz SRR1414185_2.fastq.gz
SRR1414515 SRR1414515_1.fastq.gz SRR1414515_2.fastq.gz
SRR1414637 SRR1414637_1.fastq.gz SRR1414637_2.fastq.gz
SRR1414792 SRR1414792_1.fastq.gz SRR1414792_2.fastq.gz
SRR1431248 SRR1431248_1.fastq.gz SRR1431248_2.fastq.gz
SRR1433476 SRR1433476_1.fastq.gz SRR1433476_2.fastq.gz
SRR1433729 SRR1433729_1.fastq.gz SRR1433729_2.fastq.gz
SRR1436228 SRR1436228_1.fastq.gz SRR1436228_2.fastq.gz
SRR1440467 SRR1440467_1.fastq.gz SRR1440467_2.fastq.gz
SRR1443776 SRR1443776_1.fastq.gz SRR1443776_2.fastq.gz
SRR1444083 SRR1444083_1.fastq.gz SRR1444083_2.fastq.gz
SRR1445218 SRR1445218_1.fastq.gz SRR1445218_2.fastq.gz
SRR1446203 SRR1446203_1.fastq.gz SRR1446203_2.fastq.gz
SRR1447547 SRR1447547_1.fastq.gz SRR1447547_2.fastq.gz
SRR1455653 SRR1455653_1.fastq.gz SRR1455653_2.fastq.gz
SRR1455878 SRR1455878_1.fastq.gz SRR1455878_2.fastq.gz
SRR1456051 SRR1456051_1.fastq.gz SRR1456051_2.fastq.gz
SRR1468314 SRR1468314_1.fastq.gz SRR1468314_2.fastq.gz
SRR1470751 SRR1470751_1.fastq.gz SRR1470751_2.fastq.gz
SRR1472012 SRR1472012_1.fastq.gz SRR1472012_2.fastq.gz
SRR1473275 SRR1473275_1.fastq.gz SRR1473275_2.fastq.gz
SRR1473674 SRR1473674_1.fastq.gz SRR1473674_2.fastq.gz
SRR1476485 SRR1476485_1.fastq.gz SRR1476485_2.fastq.gz
SRR1478113 SRR1478113_1.fastq.gz SRR1478113_2.fastq.gz
SRR1478637 SRR1478637_1.fastq.gz SRR1478637_2.fastq.gz
SRR1478789 SRR1478789_1.fastq.gz SRR1478789_2.fastq.gz
SRR1479489 SRR1479489_1.fastq.gz SRR1479489_2.fastq.gz
SRR1485438 SRR1485438_1.fastq.gz SRR1485438_2.fastq.gz
SRR1487890 SRR1487890_1.fastq.gz SRR1487890_2.fastq.gz
SRR1488790 SRR1488790_1.fastq.gz SRR1488790_2.fastq.gz
SRR1489757 SRR1489757_1.fastq.gz SRR1489757_2.fastq.gz
SRR1490546 SRR1490546_1.fastq.gz SRR1490546_2.fastq.gz
SRR1499040 SRR1499040_1.fastq.gz SRR1499040_2.fastq.gz
SRR1499395 SRR1499395_1.fastq.gz SRR1499395_2.fastq.gz
SRR1499675 SRR1499675_1.fastq.gz SRR1499675_2.fastq.gz
SRR1500661 SRR1500661_1.fastq.gz SRR1500661_2.fastq.gz
SRR2135317 SRR2135317_1.fastq.gz SRR2135317_2.fastq.gz
SRR2135349 SRR2135349_1.fastq.gz SRR2135349_2.fastq.gz
SRR2135365 SRR2135365_1.fastq.gz SRR2135365_2.fastq.gz
SRR2135366 SRR2135366_1.fastq.gz SRR2135366_2.fastq.gz
SRR2135380 SRR2135380_1.fastq.gz SRR2135380_2.fastq.gz
SRR2135387 SRR2135387_1.fastq.gz SRR2135387_2.fastq.gz
SRR659649 SRR659649_1.fastq.gz SRR659649_2.fastq.gz
SRR807971 SRR807971_1.fastq.gz SRR807971_2.fastq.gz
SRR807995 SRR807995_1.fastq.gz SRR807995_2.fastq.gz
SRR815140 SRR815140_1.fastq.gz SRR815140_2.fastq.gz
SRR815711 SRR815711_1.fastq.gz SRR815711_2.fastq.gz
SRR821043 SRR821043_1.fastq.gz SRR821043_2.fastq.gz
