SRR1068953 SRR1068953_1.fastq.gz SRR1068953_2.fastq.gz
SRR1069166 SRR1069166_1.fastq.gz SRR1069166_2.fastq.gz
SRR1069714 SRR1069714_1.fastq.gz SRR1069714_2.fastq.gz
SRR1069778 SRR1069778_1.fastq.gz SRR1069778_2.fastq.gz
SRR1070382 SRR1070382_1.fastq.gz SRR1070382_2.fastq.gz
SRR1070549 SRR1070549_1.fastq.gz SRR1070549_2.fastq.gz
SRR1070884 SRR1070884_1.fastq.gz SRR1070884_2.fastq.gz
SRR1071761 SRR1071761_1.fastq.gz SRR1071761_2.fastq.gz
SRR1072199 SRR1072199_1.fastq.gz SRR1072199_2.fastq.gz
SRR1072700 SRR1072700_1.fastq.gz SRR1072700_2.fastq.gz
SRR1072821 SRR1072821_1.fastq.gz SRR1072821_2.fastq.gz
SRR1072920 SRR1072920_1.fastq.gz SRR1072920_2.fastq.gz
SRR1073459 SRR1073459_1.fastq.gz SRR1073459_2.fastq.gz
SRR1074066 SRR1074066_1.fastq.gz SRR1074066_2.fastq.gz
SRR1075874 SRR1075874_1.fastq.gz SRR1075874_2.fastq.gz
SRR1076268 SRR1076268_1.fastq.gz SRR1076268_2.fastq.gz
SRR1076417 SRR1076417_1.fastq.gz SRR1076417_2.fastq.gz
SRR1076990 SRR1076990_1.fastq.gz SRR1076990_2.fastq.gz
SRR1078090 SRR1078090_1.fastq.gz SRR1078090_2.fastq.gz
SRR1078759 SRR1078759_1.fastq.gz SRR1078759_2.fastq.gz
SRR1079900 SRR1079900_1.fastq.gz SRR1079900_2.fastq.gz
SRR1080672 SRR1080672_1.fastq.gz SRR1080672_2.fastq.gz
SRR1081092 SRR1081092_1.fastq.gz SRR1081092_2.fastq.gz
SRR1081235 SRR1081235_1.fastq.gz SRR1081235_2.fastq.gz
SRR1081717 SRR1081717_1.fastq.gz SRR1081717_2.fastq.gz
SRR1081935 SRR1081935_1.fastq.gz SRR1081935_2.fastq.gz
SRR1082933 SRR1082933_1.fastq.gz SRR1082933_2.fastq.gz
SRR1082957 SRR1082957_1.fastq.gz SRR1082957_2.fastq.gz
SRR1083149 SRR1083149_1.fastq.gz SRR1083149_2.fastq.gz
SRR1083191 SRR1083191_1.fastq.gz SRR1083191_2.fastq.gz
SRR1083262 SRR1083262_1.fastq.gz SRR1083262_2.fastq.gz
SRR1083360 SRR1083360_1.fastq.gz SRR1083360_2.fastq.gz
SRR1083408 SRR1083408_1.fastq.gz SRR1083408_2.fastq.gz
SRR1084252 SRR1084252_1.fastq.gz SRR1084252_2.fastq.gz
SRR1085450 SRR1085450_1.fastq.gz SRR1085450_2.fastq.gz
SRR1087101 SRR1087101_1.fastq.gz SRR1087101_2.fastq.gz
SRR1088068 SRR1088068_1.fastq.gz SRR1088068_2.fastq.gz
