SRR1068855 SRR1068855_1.fastq.gz SRR1068855_2.fastq.gz
SRR1071231 SRR1071231_1.fastq.gz SRR1071231_2.fastq.gz
SRR1071594 SRR1071594_1.fastq.gz SRR1071594_2.fastq.gz
SRR1071955 SRR1071955_1.fastq.gz SRR1071955_2.fastq.gz
SRR1074359 SRR1074359_1.fastq.gz SRR1074359_2.fastq.gz
SRR1074670 SRR1074670_1.fastq.gz SRR1074670_2.fastq.gz
SRR1074719 SRR1074719_1.fastq.gz SRR1074719_2.fastq.gz
SRR1077288 SRR1077288_1.fastq.gz SRR1077288_2.fastq.gz
SRR1077805 SRR1077805_1.fastq.gz SRR1077805_2.fastq.gz
SRR1080766 SRR1080766_1.fastq.gz SRR1080766_2.fastq.gz
SRR1084369 SRR1084369_1.fastq.gz SRR1084369_2.fastq.gz
SRR1084417 SRR1084417_1.fastq.gz SRR1084417_2.fastq.gz
SRR1085519 SRR1085519_1.fastq.gz SRR1085519_2.fastq.gz
SRR1087245 SRR1087245_1.fastq.gz SRR1087245_2.fastq.gz
SRR1087825 SRR1087825_1.fastq.gz SRR1087825_2.fastq.gz
SRR1088581 SRR1088581_1.fastq.gz SRR1088581_2.fastq.gz
SRR1089424 SRR1089424_1.fastq.gz SRR1089424_2.fastq.gz
SRR1089901 SRR1089901_1.fastq.gz SRR1089901_2.fastq.gz
SRR1090265 SRR1090265_1.fastq.gz SRR1090265_2.fastq.gz
SRR1092349 SRR1092349_1.fastq.gz SRR1092349_2.fastq.gz
SRR1092985 SRR1092985_1.fastq.gz SRR1092985_2.fastq.gz
SRR1094051 SRR1094051_1.fastq.gz SRR1094051_2.fastq.gz
SRR1095720 SRR1095720_1.fastq.gz SRR1095720_2.fastq.gz
SRR1096174 SRR1096174_1.fastq.gz SRR1096174_2.fastq.gz
SRR1096662 SRR1096662_1.fastq.gz SRR1096662_2.fastq.gz
SRR1098474 SRR1098474_1.fastq.gz SRR1098474_2.fastq.gz
SRR1098879 SRR1098879_1.fastq.gz SRR1098879_2.fastq.gz
SRR1100588 SRR1100588_1.fastq.gz SRR1100588_2.fastq.gz
SRR1102830 SRR1102830_1.fastq.gz SRR1102830_2.fastq.gz
SRR1105057 SRR1105057_1.fastq.gz SRR1105057_2.fastq.gz
