SRR1070133 SRR1070133_1.fastq.gz SRR1070133_2.fastq.gz
SRR1071181 SRR1071181_1.fastq.gz SRR1071181_2.fastq.gz
SRR1072602 SRR1072602_1.fastq.gz SRR1072602_2.fastq.gz
SRR1074934 SRR1074934_1.fastq.gz SRR1074934_2.fastq.gz
SRR1076046 SRR1076046_1.fastq.gz SRR1076046_2.fastq.gz
SRR1076465 SRR1076465_1.fastq.gz SRR1076465_2.fastq.gz
SRR1077728 SRR1077728_1.fastq.gz SRR1077728_2.fastq.gz
SRR1079973 SRR1079973_1.fastq.gz SRR1079973_2.fastq.gz
SRR1084154 SRR1084154_1.fastq.gz SRR1084154_2.fastq.gz
SRR1085378 SRR1085378_1.fastq.gz SRR1085378_2.fastq.gz
SRR1087680 SRR1087680_1.fastq.gz SRR1087680_2.fastq.gz
SRR1090022 SRR1090022_1.fastq.gz SRR1090022_2.fastq.gz
SRR1090457 SRR1090457_1.fastq.gz SRR1090457_2.fastq.gz
SRR1092591 SRR1092591_1.fastq.gz SRR1092591_2.fastq.gz
SRR1093314 SRR1093314_1.fastq.gz SRR1093314_2.fastq.gz
SRR1094531 SRR1094531_1.fastq.gz SRR1094531_2.fastq.gz
SRR1099881 SRR1099881_1.fastq.gz SRR1099881_2.fastq.gz
SRR1310497 SRR1310497_1.fastq.gz SRR1310497_2.fastq.gz
SRR1311731 SRR1311731_1.fastq.gz SRR1311731_2.fastq.gz
SRR1313664 SRR1313664_1.fastq.gz SRR1313664_2.fastq.gz
SRR1319059 SRR1319059_1.fastq.gz SRR1319059_2.fastq.gz
SRR1319301 SRR1319301_1.fastq.gz SRR1319301_2.fastq.gz
SRR1321483 SRR1321483_1.fastq.gz SRR1321483_2.fastq.gz
SRR1326449 SRR1326449_1.fastq.gz SRR1326449_2.fastq.gz
SRR1326845 SRR1326845_1.fastq.gz SRR1326845_2.fastq.gz
SRR1329508 SRR1329508_1.fastq.gz SRR1329508_2.fastq.gz
SRR1330371 SRR1330371_1.fastq.gz SRR1330371_2.fastq.gz
SRR1337749 SRR1337749_1.fastq.gz SRR1337749_2.fastq.gz
SRR1337930 SRR1337930_1.fastq.gz SRR1337930_2.fastq.gz
SRR1338402 SRR1338402_1.fastq.gz SRR1338402_2.fastq.gz
SRR1339086 SRR1339086_1.fastq.gz SRR1339086_2.fastq.gz
SRR1340762 SRR1340762_1.fastq.gz SRR1340762_2.fastq.gz
SRR1340782 SRR1340782_1.fastq.gz SRR1340782_2.fastq.gz
SRR1343136 SRR1343136_1.fastq.gz SRR1343136_2.fastq.gz
SRR1344079 SRR1344079_1.fastq.gz SRR1344079_2.fastq.gz
SRR1344364 SRR1344364_1.fastq.gz SRR1344364_2.fastq.gz
SRR1351907 SRR1351907_1.fastq.gz SRR1351907_2.fastq.gz
SRR1354400 SRR1354400_1.fastq.gz SRR1354400_2.fastq.gz
SRR1356327 SRR1356327_1.fastq.gz SRR1356327_2.fastq.gz
SRR1358803 SRR1358803_1.fastq.gz SRR1358803_2.fastq.gz
SRR1359027 SRR1359027_1.fastq.gz SRR1359027_2.fastq.gz
SRR1359587 SRR1359587_1.fastq.gz SRR1359587_2.fastq.gz
SRR1360321 SRR1360321_1.fastq.gz SRR1360321_2.fastq.gz
SRR1361391 SRR1361391_1.fastq.gz SRR1361391_2.fastq.gz
SRR1365655 SRR1365655_1.fastq.gz SRR1365655_2.fastq.gz
SRR1365767 SRR1365767_1.fastq.gz SRR1365767_2.fastq.gz
SRR1366102 SRR1366102_1.fastq.gz SRR1366102_2.fastq.gz
SRR1366412 SRR1366412_1.fastq.gz SRR1366412_2.fastq.gz
SRR1367520 SRR1367520_1.fastq.gz SRR1367520_2.fastq.gz
SRR1375371 SRR1375371_1.fastq.gz SRR1375371_2.fastq.gz
SRR1378199 SRR1378199_1.fastq.gz SRR1378199_2.fastq.gz
SRR1379036 SRR1379036_1.fastq.gz SRR1379036_2.fastq.gz
SRR1380358 SRR1380358_1.fastq.gz SRR1380358_2.fastq.gz
SRR1380436 SRR1380436_1.fastq.gz SRR1380436_2.fastq.gz
SRR1384312 SRR1384312_1.fastq.gz SRR1384312_2.fastq.gz
SRR1387745 SRR1387745_1.fastq.gz SRR1387745_2.fastq.gz
SRR1387787 SRR1387787_1.fastq.gz SRR1387787_2.fastq.gz
SRR1396901 SRR1396901_1.fastq.gz SRR1396901_2.fastq.gz
SRR1397558 SRR1397558_1.fastq.gz SRR1397558_2.fastq.gz
