SRR1069188 SRR1069188_1.fastq.gz SRR1069188_2.fastq.gz
SRR1070986 SRR1070986_1.fastq.gz SRR1070986_2.fastq.gz
SRR1071289 SRR1071289_1.fastq.gz SRR1071289_2.fastq.gz
SRR1071880 SRR1071880_1.fastq.gz SRR1071880_2.fastq.gz
SRR1072178 SRR1072178_1.fastq.gz SRR1072178_2.fastq.gz
SRR1072367 SRR1072367_1.fastq.gz SRR1072367_2.fastq.gz
SRR1072504 SRR1072504_1.fastq.gz SRR1072504_2.fastq.gz
SRR1072797 SRR1072797_1.fastq.gz SRR1072797_2.fastq.gz
SRR1073143 SRR1073143_1.fastq.gz SRR1073143_2.fastq.gz
SRR1073755 SRR1073755_1.fastq.gz SRR1073755_2.fastq.gz
SRR1074164 SRR1074164_1.fastq.gz SRR1074164_2.fastq.gz
SRR1075433 SRR1075433_1.fastq.gz SRR1075433_2.fastq.gz
SRR1075898 SRR1075898_1.fastq.gz SRR1075898_2.fastq.gz
SRR1076072 SRR1076072_1.fastq.gz SRR1076072_2.fastq.gz
SRR1077405 SRR1077405_1.fastq.gz SRR1077405_2.fastq.gz
SRR1077687 SRR1077687_1.fastq.gz SRR1077687_2.fastq.gz
SRR1078347 SRR1078347_1.fastq.gz SRR1078347_2.fastq.gz
SRR1078879 SRR1078879_1.fastq.gz SRR1078879_2.fastq.gz
SRR1079168 SRR1079168_1.fastq.gz SRR1079168_2.fastq.gz
SRR1079281 SRR1079281_1.fastq.gz SRR1079281_2.fastq.gz
SRR1079591 SRR1079591_1.fastq.gz SRR1079591_2.fastq.gz
SRR1080172 SRR1080172_1.fastq.gz SRR1080172_2.fastq.gz
SRR1080835 SRR1080835_1.fastq.gz SRR1080835_2.fastq.gz
SRR1080927 SRR1080927_1.fastq.gz SRR1080927_2.fastq.gz
SRR1081741 SRR1081741_1.fastq.gz SRR1081741_2.fastq.gz
SRR1082262 SRR1082262_1.fastq.gz SRR1082262_2.fastq.gz
SRR1082328 SRR1082328_1.fastq.gz SRR1082328_2.fastq.gz
SRR1082759 SRR1082759_1.fastq.gz SRR1082759_2.fastq.gz
SRR1083100 SRR1083100_1.fastq.gz SRR1083100_2.fastq.gz
SRR1083632 SRR1083632_1.fastq.gz SRR1083632_2.fastq.gz
SRR1084484 SRR1084484_1.fastq.gz SRR1084484_2.fastq.gz
SRR1084649 SRR1084649_1.fastq.gz SRR1084649_2.fastq.gz
SRR1084842 SRR1084842_1.fastq.gz SRR1084842_2.fastq.gz
SRR1085015 SRR1085015_1.fastq.gz SRR1085015_2.fastq.gz
SRR1085495 SRR1085495_1.fastq.gz SRR1085495_2.fastq.gz
SRR1085662 SRR1085662_1.fastq.gz SRR1085662_2.fastq.gz
SRR1085782 SRR1085782_1.fastq.gz SRR1085782_2.fastq.gz
SRR1085825 SRR1085825_1.fastq.gz SRR1085825_2.fastq.gz
SRR1085850 SRR1085850_1.fastq.gz SRR1085850_2.fastq.gz
SRR1085975 SRR1085975_1.fastq.gz SRR1085975_2.fastq.gz
SRR1086561 SRR1086561_1.fastq.gz SRR1086561_2.fastq.gz
SRR1086635 SRR1086635_1.fastq.gz SRR1086635_2.fastq.gz
SRR1086680 SRR1086680_1.fastq.gz SRR1086680_2.fastq.gz
SRR1087031 SRR1087031_1.fastq.gz SRR1087031_2.fastq.gz
SRR1087152 SRR1087152_1.fastq.gz SRR1087152_2.fastq.gz
SRR1088389 SRR1088389_1.fastq.gz SRR1088389_2.fastq.gz
SRR1092706 SRR1092706_1.fastq.gz SRR1092706_2.fastq.gz
SRR1092797 SRR1092797_1.fastq.gz SRR1092797_2.fastq.gz
SRR1093527 SRR1093527_1.fastq.gz SRR1093527_2.fastq.gz
SRR1093773 SRR1093773_1.fastq.gz SRR1093773_2.fastq.gz
SRR1095865 SRR1095865_1.fastq.gz SRR1095865_2.fastq.gz
SRR1096851 SRR1096851_1.fastq.gz SRR1096851_2.fastq.gz
SRR1096966 SRR1096966_1.fastq.gz SRR1096966_2.fastq.gz
SRR1097392 SRR1097392_1.fastq.gz SRR1097392_2.fastq.gz
SRR1097752 SRR1097752_1.fastq.gz SRR1097752_2.fastq.gz
SRR1097978 SRR1097978_1.fastq.gz SRR1097978_2.fastq.gz
SRR1098336 SRR1098336_1.fastq.gz SRR1098336_2.fastq.gz
SRR1098519 SRR1098519_1.fastq.gz SRR1098519_2.fastq.gz
SRR1099023 SRR1099023_1.fastq.gz SRR1099023_2.fastq.gz
