SRR1075223 SRR1075223_1.fastq.gz SRR1075223_2.fastq.gz
SRR1077239 SRR1077239_1.fastq.gz SRR1077239_2.fastq.gz
SRR1088832 SRR1088832_1.fastq.gz SRR1088832_2.fastq.gz
SRR1089562 SRR1089562_1.fastq.gz SRR1089562_2.fastq.gz
SRR1089833 SRR1089833_1.fastq.gz SRR1089833_2.fastq.gz
SRR1096057 SRR1096057_1.fastq.gz SRR1096057_2.fastq.gz
SRR1096876 SRR1096876_1.fastq.gz SRR1096876_2.fastq.gz
SRR1097035 SRR1097035_1.fastq.gz SRR1097035_2.fastq.gz
SRR1097574 SRR1097574_1.fastq.gz SRR1097574_2.fastq.gz
SRR1098612 SRR1098612_1.fastq.gz SRR1098612_2.fastq.gz
SRR1343393 SRR1343393_1.fastq.gz SRR1343393_2.fastq.gz
