SRR1069690 SRR1069690_1.fastq.gz SRR1069690_2.fastq.gz
SRR1069802 SRR1069802_1.fastq.gz SRR1069802_2.fastq.gz
SRR1071692 SRR1071692_1.fastq.gz SRR1071692_2.fastq.gz
SRR1072650 SRR1072650_1.fastq.gz SRR1072650_2.fastq.gz
SRR1075631 SRR1075631_1.fastq.gz SRR1075631_2.fastq.gz
SRR1075997 SRR1075997_1.fastq.gz SRR1075997_2.fastq.gz
SRR1076779 SRR1076779_1.fastq.gz SRR1076779_2.fastq.gz
SRR1077115 SRR1077115_1.fastq.gz SRR1077115_2.fastq.gz
SRR1077528 SRR1077528_1.fastq.gz SRR1077528_2.fastq.gz
SRR1077643 SRR1077643_1.fastq.gz SRR1077643_2.fastq.gz
SRR1080415 SRR1080415_1.fastq.gz SRR1080415_2.fastq.gz
SRR1080438 SRR1080438_1.fastq.gz SRR1080438_2.fastq.gz
SRR1080977 SRR1080977_1.fastq.gz SRR1080977_2.fastq.gz
SRR1084892 SRR1084892_1.fastq.gz SRR1084892_2.fastq.gz
SRR1084965 SRR1084965_1.fastq.gz SRR1084965_2.fastq.gz
SRR1085925 SRR1085925_1.fastq.gz SRR1085925_2.fastq.gz
SRR1086140 SRR1086140_1.fastq.gz SRR1086140_2.fastq.gz
SRR1086304 SRR1086304_1.fastq.gz SRR1086304_2.fastq.gz
SRR1086844 SRR1086844_1.fastq.gz SRR1086844_2.fastq.gz
SRR1086889 SRR1086889_1.fastq.gz SRR1086889_2.fastq.gz
SRR1087197 SRR1087197_1.fastq.gz SRR1087197_2.fastq.gz
SRR1087992 SRR1087992_1.fastq.gz SRR1087992_2.fastq.gz
SRR1088142 SRR1088142_1.fastq.gz SRR1088142_2.fastq.gz
SRR1088340 SRR1088340_1.fastq.gz SRR1088340_2.fastq.gz
SRR1088734 SRR1088734_1.fastq.gz SRR1088734_2.fastq.gz
SRR1090483 SRR1090483_1.fastq.gz SRR1090483_2.fastq.gz
SRR1092889 SRR1092889_1.fastq.gz SRR1092889_2.fastq.gz
SRR1093243 SRR1093243_1.fastq.gz SRR1093243_2.fastq.gz
SRR1093269 SRR1093269_1.fastq.gz SRR1093269_2.fastq.gz
SRR1093649 SRR1093649_1.fastq.gz SRR1093649_2.fastq.gz
SRR1094192 SRR1094192_1.fastq.gz SRR1094192_2.fastq.gz
SRR1094506 SRR1094506_1.fastq.gz SRR1094506_2.fastq.gz
SRR1098288 SRR1098288_1.fastq.gz SRR1098288_2.fastq.gz
SRR1102756 SRR1102756_1.fastq.gz SRR1102756_2.fastq.gz
SRR1307699 SRR1307699_1.fastq.gz SRR1307699_2.fastq.gz
SRR1308200 SRR1308200_1.fastq.gz SRR1308200_2.fastq.gz
SRR1308674 SRR1308674_1.fastq.gz SRR1308674_2.fastq.gz
SRR1308696 SRR1308696_1.fastq.gz SRR1308696_2.fastq.gz
SRR1309856 SRR1309856_1.fastq.gz SRR1309856_2.fastq.gz
SRR1310373 SRR1310373_1.fastq.gz SRR1310373_2.fastq.gz
SRR1310563 SRR1310563_1.fastq.gz SRR1310563_2.fastq.gz
SRR1311109 SRR1311109_1.fastq.gz SRR1311109_2.fastq.gz
SRR1311243 SRR1311243_1.fastq.gz SRR1311243_2.fastq.gz
SRR1311509 SRR1311509_1.fastq.gz SRR1311509_2.fastq.gz
SRR1312482 SRR1312482_1.fastq.gz SRR1312482_2.fastq.gz
SRR1312540 SRR1312540_1.fastq.gz SRR1312540_2.fastq.gz
SRR1312725 SRR1312725_1.fastq.gz SRR1312725_2.fastq.gz
SRR1313560 SRR1313560_1.fastq.gz SRR1313560_2.fastq.gz
SRR1313853 SRR1313853_1.fastq.gz SRR1313853_2.fastq.gz
SRR1314851 SRR1314851_1.fastq.gz SRR1314851_2.fastq.gz
SRR1315393 SRR1315393_1.fastq.gz SRR1315393_2.fastq.gz
SRR1316483 SRR1316483_1.fastq.gz SRR1316483_2.fastq.gz
SRR1316725 SRR1316725_1.fastq.gz SRR1316725_2.fastq.gz
SRR1317305 SRR1317305_1.fastq.gz SRR1317305_2.fastq.gz
SRR1317428 SRR1317428_1.fastq.gz SRR1317428_2.fastq.gz
SRR1317707 SRR1317707_1.fastq.gz SRR1317707_2.fastq.gz
SRR1318484 SRR1318484_1.fastq.gz SRR1318484_2.fastq.gz
SRR1318662 SRR1318662_1.fastq.gz SRR1318662_2.fastq.gz
SRR1318998 SRR1318998_1.fastq.gz SRR1318998_2.fastq.gz
