SRR1071105 SRR1071105_1.fastq.gz SRR1071105_2.fastq.gz
SRR1078392 SRR1078392_1.fastq.gz SRR1078392_2.fastq.gz
SRR1080790 SRR1080790_1.fastq.gz SRR1080790_2.fastq.gz
SRR1081589 SRR1081589_1.fastq.gz SRR1081589_2.fastq.gz
SRR1097245 SRR1097245_1.fastq.gz SRR1097245_2.fastq.gz
SRR1100608 SRR1100608_1.fastq.gz SRR1100608_2.fastq.gz
SRR1315412 SRR1315412_1.fastq.gz SRR1315412_2.fastq.gz
SRR1318089 SRR1318089_1.fastq.gz SRR1318089_2.fastq.gz
SRR1321897 SRR1321897_1.fastq.gz SRR1321897_2.fastq.gz
SRR1325201 SRR1325201_1.fastq.gz SRR1325201_2.fastq.gz
SRR1328715 SRR1328715_1.fastq.gz SRR1328715_2.fastq.gz
SRR1330723 SRR1330723_1.fastq.gz SRR1330723_2.fastq.gz
SRR1331771 SRR1331771_1.fastq.gz SRR1331771_2.fastq.gz
SRR1338384 SRR1338384_1.fastq.gz SRR1338384_2.fastq.gz
SRR1339987 SRR1339987_1.fastq.gz SRR1339987_2.fastq.gz
SRR1340260 SRR1340260_1.fastq.gz SRR1340260_2.fastq.gz
SRR1348929 SRR1348929_1.fastq.gz SRR1348929_2.fastq.gz
SRR1353600 SRR1353600_1.fastq.gz SRR1353600_2.fastq.gz
SRR1356057 SRR1356057_1.fastq.gz SRR1356057_2.fastq.gz
SRR1358391 SRR1358391_1.fastq.gz SRR1358391_2.fastq.gz
SRR1376380 SRR1376380_1.fastq.gz SRR1376380_2.fastq.gz
SRR1376450 SRR1376450_1.fastq.gz SRR1376450_2.fastq.gz
SRR1376741 SRR1376741_1.fastq.gz SRR1376741_2.fastq.gz
SRR1381185 SRR1381185_1.fastq.gz SRR1381185_2.fastq.gz
SRR1382978 SRR1382978_1.fastq.gz SRR1382978_2.fastq.gz
SRR1385690 SRR1385690_1.fastq.gz SRR1385690_2.fastq.gz
SRR1386927 SRR1386927_1.fastq.gz SRR1386927_2.fastq.gz
SRR1388459 SRR1388459_1.fastq.gz SRR1388459_2.fastq.gz
SRR1389955 SRR1389955_1.fastq.gz SRR1389955_2.fastq.gz
SRR1397720 SRR1397720_1.fastq.gz SRR1397720_2.fastq.gz
SRR1400931 SRR1400931_1.fastq.gz SRR1400931_2.fastq.gz
SRR1404339 SRR1404339_1.fastq.gz SRR1404339_2.fastq.gz
SRR1405147 SRR1405147_1.fastq.gz SRR1405147_2.fastq.gz
SRR1406135 SRR1406135_1.fastq.gz SRR1406135_2.fastq.gz
SRR1406348 SRR1406348_1.fastq.gz SRR1406348_2.fastq.gz
SRR1407044 SRR1407044_1.fastq.gz SRR1407044_2.fastq.gz
SRR1413307 SRR1413307_1.fastq.gz SRR1413307_2.fastq.gz
SRR1416141 SRR1416141_1.fastq.gz SRR1416141_2.fastq.gz
SRR1416188 SRR1416188_1.fastq.gz SRR1416188_2.fastq.gz
SRR1416841 SRR1416841_1.fastq.gz SRR1416841_2.fastq.gz
SRR1418225 SRR1418225_1.fastq.gz SRR1418225_2.fastq.gz
SRR1418473 SRR1418473_1.fastq.gz SRR1418473_2.fastq.gz
SRR1418747 SRR1418747_1.fastq.gz SRR1418747_2.fastq.gz
SRR1419561 SRR1419561_1.fastq.gz SRR1419561_2.fastq.gz
SRR1429429 SRR1429429_1.fastq.gz SRR1429429_2.fastq.gz
SRR1429540 SRR1429540_1.fastq.gz SRR1429540_2.fastq.gz
SRR1431823 SRR1431823_1.fastq.gz SRR1431823_2.fastq.gz
SRR1432868 SRR1432868_1.fastq.gz SRR1432868_2.fastq.gz
SRR1432958 SRR1432958_1.fastq.gz SRR1432958_2.fastq.gz
SRR1433493 SRR1433493_1.fastq.gz SRR1433493_2.fastq.gz
SRR1436468 SRR1436468_1.fastq.gz SRR1436468_2.fastq.gz
SRR1443308 SRR1443308_1.fastq.gz SRR1443308_2.fastq.gz
SRR1444370 SRR1444370_1.fastq.gz SRR1444370_2.fastq.gz
SRR1445194 SRR1445194_1.fastq.gz SRR1445194_2.fastq.gz
SRR1445618 SRR1445618_1.fastq.gz SRR1445618_2.fastq.gz
SRR1447916 SRR1447916_1.fastq.gz SRR1447916_2.fastq.gz
SRR1454480 SRR1454480_1.fastq.gz SRR1454480_2.fastq.gz
SRR1456492 SRR1456492_1.fastq.gz SRR1456492_2.fastq.gz
SRR1458643 SRR1458643_1.fastq.gz SRR1458643_2.fastq.gz
SRR1459980 SRR1459980_1.fastq.gz SRR1459980_2.fastq.gz
SRR1460337 SRR1460337_1.fastq.gz SRR1460337_2.fastq.gz
SRR1469062 SRR1469062_1.fastq.gz SRR1469062_2.fastq.gz
SRR1469390 SRR1469390_1.fastq.gz SRR1469390_2.fastq.gz
SRR1469662 SRR1469662_1.fastq.gz SRR1469662_2.fastq.gz
SRR1473778 SRR1473778_1.fastq.gz SRR1473778_2.fastq.gz
SRR1475324 SRR1475324_1.fastq.gz SRR1475324_2.fastq.gz
SRR1476125 SRR1476125_1.fastq.gz SRR1476125_2.fastq.gz
SRR1478614 SRR1478614_1.fastq.gz SRR1478614_2.fastq.gz
SRR1479198 SRR1479198_1.fastq.gz SRR1479198_2.fastq.gz
SRR1486322 SRR1486322_1.fastq.gz SRR1486322_2.fastq.gz
SRR2135402 SRR2135402_1.fastq.gz SRR2135402_2.fastq.gz
