SRR1069303 SRR1069303_1.fastq.gz SRR1069303_2.fastq.gz
SRR1069400 SRR1069400_1.fastq.gz SRR1069400_2.fastq.gz
SRR1069539 SRR1069539_1.fastq.gz SRR1069539_2.fastq.gz
SRR1072456 SRR1072456_1.fastq.gz SRR1072456_2.fastq.gz
SRR1073507 SRR1073507_1.fastq.gz SRR1073507_2.fastq.gz
SRR1073947 SRR1073947_1.fastq.gz SRR1073947_2.fastq.gz
SRR1074526 SRR1074526_1.fastq.gz SRR1074526_2.fastq.gz
SRR1075198 SRR1075198_1.fastq.gz SRR1075198_2.fastq.gz
SRR1076369 SRR1076369_1.fastq.gz SRR1076369_2.fastq.gz
SRR1077549 SRR1077549_1.fastq.gz SRR1077549_2.fastq.gz
SRR1077944 SRR1077944_1.fastq.gz SRR1077944_2.fastq.gz
SRR1079046 SRR1079046_1.fastq.gz SRR1079046_2.fastq.gz
SRR1079782 SRR1079782_1.fastq.gz SRR1079782_2.fastq.gz
SRR1080600 SRR1080600_1.fastq.gz SRR1080600_2.fastq.gz
SRR1082447 SRR1082447_1.fastq.gz SRR1082447_2.fastq.gz
SRR1084055 SRR1084055_1.fastq.gz SRR1084055_2.fastq.gz
SRR1085039 SRR1085039_1.fastq.gz SRR1085039_2.fastq.gz
SRR1085087 SRR1085087_1.fastq.gz SRR1085087_2.fastq.gz
SRR1086915 SRR1086915_1.fastq.gz SRR1086915_2.fastq.gz
SRR1086935 SRR1086935_1.fastq.gz SRR1086935_2.fastq.gz
SRR1086983 SRR1086983_1.fastq.gz SRR1086983_2.fastq.gz
SRR1089230 SRR1089230_1.fastq.gz SRR1089230_2.fastq.gz
SRR1090984 SRR1090984_1.fastq.gz SRR1090984_2.fastq.gz
SRR1091404 SRR1091404_1.fastq.gz SRR1091404_2.fastq.gz
SRR1091500 SRR1091500_1.fastq.gz SRR1091500_2.fastq.gz
SRR1092257 SRR1092257_1.fastq.gz SRR1092257_2.fastq.gz
SRR1093196 SRR1093196_1.fastq.gz SRR1093196_2.fastq.gz
SRR1094073 SRR1094073_1.fastq.gz SRR1094073_2.fastq.gz
SRR1094312 SRR1094312_1.fastq.gz SRR1094312_2.fastq.gz
SRR1095549 SRR1095549_1.fastq.gz SRR1095549_2.fastq.gz
SRR1096291 SRR1096291_1.fastq.gz SRR1096291_2.fastq.gz
SRR1097417 SRR1097417_1.fastq.gz SRR1097417_2.fastq.gz
SRR1101765 SRR1101765_1.fastq.gz SRR1101765_2.fastq.gz
SRR1102296 SRR1102296_1.fastq.gz SRR1102296_2.fastq.gz
SRR1105174 SRR1105174_1.fastq.gz SRR1105174_2.fastq.gz
SRR1120987 SRR1120987_1.fastq.gz SRR1120987_2.fastq.gz
SRR1309597 SRR1309597_1.fastq.gz SRR1309597_2.fastq.gz
SRR1310604 SRR1310604_1.fastq.gz SRR1310604_2.fastq.gz
SRR1311205 SRR1311205_1.fastq.gz SRR1311205_2.fastq.gz
SRR1311980 SRR1311980_1.fastq.gz SRR1311980_2.fastq.gz
SRR1314054 SRR1314054_1.fastq.gz SRR1314054_2.fastq.gz
SRR1318732 SRR1318732_1.fastq.gz SRR1318732_2.fastq.gz
SRR1319690 SRR1319690_1.fastq.gz SRR1319690_2.fastq.gz
SRR1323788 SRR1323788_1.fastq.gz SRR1323788_2.fastq.gz
SRR1324062 SRR1324062_1.fastq.gz SRR1324062_2.fastq.gz
SRR1326225 SRR1326225_1.fastq.gz SRR1326225_2.fastq.gz
SRR1327279 SRR1327279_1.fastq.gz SRR1327279_2.fastq.gz
SRR1327747 SRR1327747_1.fastq.gz SRR1327747_2.fastq.gz
SRR1328339 SRR1328339_1.fastq.gz SRR1328339_2.fastq.gz
SRR1334200 SRR1334200_1.fastq.gz SRR1334200_2.fastq.gz
SRR1334461 SRR1334461_1.fastq.gz SRR1334461_2.fastq.gz
SRR1335875 SRR1335875_1.fastq.gz SRR1335875_2.fastq.gz
SRR1343031 SRR1343031_1.fastq.gz SRR1343031_2.fastq.gz
